名称,单位,数量
运输费率,元/件*公里,1
仓储费率,元/件*年,1
缺货成本,元/件,1000000
资金利率,百分比,4
生产成本,元/件,60000
仓库数量下限,个,1
仓库数量上限,个,2
仓库库存下限,件,3
仓库库存上限,件,3
运输时间上限,小时,24
